Paper_Number;Paper_ID;Paper_Name;Paper_Link
46;nTDUrJthLnUJ;Class-incremental learning: survey and performance evaluation on image classification ;https://ieeexplore.ieee.org/abstract/document/9915459/
47;1mE90xusmroJ;Deep learning: methods and applications ;https://www.nowpublishers.com/article/Details/SIG-039
48;NO5hmY-9QGAJ;Learning combinatorial optimization algorithms over graphs ;https://proceedings.neurips.cc/paper/2017/hash/d9896106ca98d3d05b8cbdf4fd8b13a1-Abstract.html
49;msYFIAx2SMoJ;Badnets: Identifying vulnerabilities in the machine learning model supply chain ;https://arxiv.org/abs/1708.06733
50;-ND7OqA87iYJ;Behavior regularized offline reinforcement learning ;https://arxiv.org/abs/1911.11361
51;7xoWrSS5VEQJ;Artificial intelligence: A powerful paradigm for scientific research ;https://www.cell.com/article/S2666-6758(21)00104-1/fulltext
52;4frQBQQyo5UJ;Hamiltonian neural networks ;https://proceedings.neurips.cc/paper/2019/hash/26cd8ecadce0d4efd6cc8a8725cbd1f8-Abstract.html
53;hTN05sa1LkMJ;Model-based reinforcement learning for atari ;https://arxiv.org/abs/1903.00374
54;uJtoRwX77IwJ;Unity: A general platform for intelligent agents ;https://arxiv.org/abs/1809.02627
55;ipYD5ds1h6kJ;Transfer learning in deep reinforcement learning: A survey ;https://ieeexplore.ieee.org/abstract/document/10172347/
56;HP_1h8WYtNQJ;Recurrent world models facilitate policy evolution ;https://proceedings.neurips.cc/paper/2018/hash/2de5d16682c3c35007e4e92982f1a2ba-Abstract.html
57;25IZ-mh7cOgJ;Deep models under the GAN: information leakage from collaborative deep learning ;https://dl.acm.org/doi/abs/10.1145/3133956.3134012
58;C1CWxhdprssJ;Neural network dynamics for model-based deep reinforcement learning with model-free fine-tuning ;https://ieeexplore.ieee.org/abstract/document/8463189/
59;b5u6U1HTwwIJ;An optimistic perspective on offline reinforcement learning ;https://proceedings.mlr.press/v119/agarwal20c.html
60;bwiIHOZA74IJ;Artificial intelligence and machine learning approaches to energy demand-side response: A systematic review ;https://www.sciencedirect.com/science/article/pii/S136403212030191X
61;Rx5zFmjYmRAJ;Deep reinforcement learning for dialogue generation ;https://arxiv.org/abs/1606.01541
62;DK-maeBJZqoJ;Is Q-learning provably efficient? ;https://proceedings.neurips.cc/paper_files/paper/2018/hash/d3b1fb02964aa64e257f9f26a31f72cf-Abstract.html
63;tj5uz7Opn84J;Reinforcement learning with unsupervised auxiliary tasks ;https://arxiv.org/abs/1611.05397
64;GaYmVdtcYI0J;Reinforcement learning with deep energy-based policies ;http://proceedings.mlr.press/v70/haarnoja17a.html?ref=https://githubhelp.com
65;4MYcew7r8BcJ;An intriguing failing of convolutional neural networks and the coordconv solution ;https://proceedings.neurips.cc/paper_files/paper/2018/hash/60106888f8977b71e1f15db7bc9a88d1-Abstract.html
66;Os6LylDv0acJ;Bridging offline reinforcement learning and imitation learning: A tale of pessimism ;https://proceedings.neurips.cc/paper/2021/hash/60ce36723c17bbac504f2ef4c8a46995-Abstract.html
67;xiSgz1L8SucJ;Deep reinforcement learning from human preferences ;https://proceedings.neurips.cc/paper_files/paper/2017/hash/d5e2c0adad503c91f91df240d0cd4e49-Abstract.html
68;NhHOeZM0CasJ;Diversity is all you need: Learning skills without a reward function ;https://arxiv.org/abs/1802.06070
69;0LIOn4AvkfoJ;Adversarial attacks and defenses in deep learning ;https://www.sciencedirect.com/science/article/pii/S209580991930503X
70;jy7YvGRzv_gJ;Badnets: Evaluating backdooring attacks on deep neural networks ;https://ieeexplore.ieee.org/abstract/document/8685687/
71;7FXT1XWI668J;Resource management with deep reinforcement learning ;https://dl.acm.org/doi/abs/10.1145/3005745.3005750
72;rJuPkpNwY-gJ;Deep reinforcement learning framework for autonomous driving ;https://arxiv.org/abs/1704.02532
73;HtRq04qLJjcJ;A survey of deep meta-learning ;https://link.springer.com/article/10.1007/s10462-021-10004-4
74;pdwnNEmJkQgJ;A review on reinforcement learning: Introduction and applications in industrial process control ;https://www.sciencedirect.com/science/article/pii/S0098135420300557
75;FOsFRxFS4lgJ;Reinforcement learning based recommender systems: A survey ;https://dl.acm.org/doi/abs/10.1145/3543846
76;_rfzmf-LxUEJ;Bilinear classes: A structural framework for provable generalization in rl ;https://proceedings.mlr.press/v139/du21a.html
77;Sy5TYUo8TTAJ;Combustion machine learning: Principles, progress and prospects ;https://www.sciencedirect.com/science/article/pii/S0360128522000193
78;g4bEYyp3TAUJ;Reinforcement learning, fast and slow ;https://www.cell.com/trends/cognitie-sciences/fulltext/S1364-6613(19)30061-0
79;6Ul9KOmv-YgJ;Quantifying generalization in reinforcement learning ;https://proceedings.mlr.press/v97/cobbe19a.html
80;ymxirL3IxokJ;Big-data science in porous materials: materials genomics and machine learning ;https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.0c00004
81;TZ18VQe782oJ;Inductive biases for deep learning of higher-level cognition ;https://royalsocietypublishing.org/doi/abs/10.1098/rspa.2021.0068
82;ZufycJA53CAJ;A survey of optimization methods from a machine learning perspective ;https://ieeexplore.ieee.org/abstract/document/8903465/
83;KXpz-f_-XM8J;Deep reinforcement learning based resource allocation for V2V communications ;https://ieeexplore.ieee.org/abstract/document/8633948/
84;s5ypH2KWkb8J;Intuitive physics learning in a deep-learning model inspired by developmental psychology ;https://www.nature.com/articles/s41562-022-01394-8
85;e1Os5ICON8UJ;Gradient based sample selection for online continual learning ;https://proceedings.neurips.cc/paper_files/paper/2019/hash/e562cd9c0768d5464b64cf61da7fc6bb-Abstract.html
86;gQ6MdtNSaQUJ;Progress & compress: A scalable framework for continual learning ;http://proceedings.mlr.press/v80/schwarz18a.html?ref=https://githubhelp.com
87;BuVp0ubmAi0J;Review on deep learning applications in frequency analysis and control of modern power system ;https://www.sciencedirect.com/science/article/pii/S0142061521009686
88;FHgTMkCoo-IJ;Model-based reinforcement learning with value-targeted regression ;http://proceedings.mlr.press/v119/ayoub20a.html
89;GSgPwrCC1XQJ;Applications of reinforcement learning in energy systems ;https://www.sciencedirect.com/science/article/pii/S1364032120309023
90;eqOvNHokpT4J;Towards the systematic reporting of the energy and carbon footprints of machine learning ;https://dl.acm.org/doi/abs/10.5555/3455716.3455964
91;MEcUcdcTcd4J;A survey and critique of multiagent deep reinforcement learning ;https://link.springer.com/article/10.1007/s10458-019-09421-1
92;vFiXGil-lbEJ;Bellman eluder dimension: New rich classes of rl problems, and sample-efficient algorithms ;https://proceedings.neurips.cc/paper_files/paper/2021/hash/6f5e4e86a87220e5d361ad82f1ebc335-Abstract.html
93;hJDIJnpyIgoJ;Towards accountability for machine learning datasets: Practices from software engineering and infrastructure ;https://dl.acm.org/doi/abs/10.1145/3442188.3445918
94;9Cy3-gIfGiAJ;Chainer: a next-generation open source framework for deep learning ;http://learningsys.org/papers/LearningSys_2015_paper_33.pdf
95;_7_eu82KfgEJ;The option-critic architecture ;https://ojs.aaai.org/index.php/AAAI/article/view/10916
96;BCHVk0993YgJ;Model compression via distillation and quantization ;https://arxiv.org/abs/1802.05668
97;fE-FRD0htVEJ;Reinforcement learning and its applications in modern power and energy systems: A review ;https://ieeexplore.ieee.org/abstract/document/9275593/
98;KSut8Hmk1BkJ;A comprehensive review of deep learning applications in hydrology and water resources ;https://iwaponline.com/wst/article-abstract/82/12/2635/75838
99;RlE1Chh9FRoJ;Adversarial attacks on neural network policies ;https://arxiv.org/abs/1702.02284
100;d5mrNvNcRGoJ;Deep reinforcement learning based mobile robot navigation: A review ;https://ieeexplore.ieee.org/abstract/document/9409758/
101;VFhahKR_hzIJ;Maven: Multi-agent variational exploration ;https://proceedings.neurips.cc/paper/2019/hash/f816dc0acface7498e10496222e9db10-Abstract.html
102;UDxLVwfeLGMJ;Wireless network intelligence at the edge ;https://ieeexplore.ieee.org/abstract/document/8865093,
103;90YnUo-Qqq8J;Thirty years of machine learning: The road to Pareto-optimal wireless networks ;https://ieeexplore.ieee.org/abstract/document/8957702/
104;zCWnwF7qn4MJ;Stochastic latent actor-critic: Deep reinforcement learning with a latent variable model ;https://proceedings.neurips.cc/paper/2020/hash/08058bf500242562c0d031ff830ad094-Abstract.html
105;ljqVj9Pm070J;Deeppath: A reinforcement learning method for knowledge graph reasoning ;https://arxiv.org/abs/1707.06690
106;kNpTul0u9AsJ;Universal value function approximators ;https://proceedings.mlr.press/v37/schaul15.html
107;Wl6vf1HjHLIJ;Advances and challenges in conversational recommender systems: A survey ;https://www.sciencedirect.com/science/article/pii/S2666651021000164
108;VK7xPyl_ZR0J;Deep learning ;https://books.google.com/books?hl=en&lr=&id=b06qDwAAQBAJ&oi=fnd&pg=PP9&ots=_oIZWRp_YL&sig=IT-QMCDiTooqRefvRRFWAU5iYzM
109;yT4IbWh7cHgJ;A review of reinforcement learning based energy management systems for electrified powertrains: Progress, challenge, and potential solution ;https://www.sciencedirect.com/science/article/pii/S136403212101100X
110;_BHyBBWfiIIJ;Explainability in deep reinforcement learning ;https://www.sciencedirect.com/science/article/pii/S0950705120308145
111;IYI1f_IObT0J;Survey of deep reinforcement learning for motion planning of autonomous vehicles ;https://ieeexplore.ieee.org/abstract/document/9210154/
112;6KvjVDtAPP4J;Deep learning enabled inverse design in nanophotonics ;https://www.degruyter.com/document/doi/10.1515/nanoph-2019-0474/html
113;CAqdzR0vmGsJ;Action-conditional video prediction using deep networks in atari games ;https://proceedings.neurips.cc/paper/2015/hash/6ba3af5d7b2790e73f0de32e5c8c1798-Abstract.html
114;ZHXw-x3IgAoJ;Reinforcement Learning-based control using Q-learning and gravitational search algorithm with experimental validation on a nonlinear servo system ;https://www.sciencedirect.com/science/article/pii/S002002552101094X
115;pVESDLgWvN8J;Edge learning for B5G networks with distributed signal processing: Semantic communication, edge computing, and wireless sensing ;https://ieeexplore.ieee.org/abstract/document/10024766/
116;JYVTtjInECMJ;On large-batch training for deep learning: Generalization gap and sharp minima ;https://arxiv.org/abs/1609.04836
117;kJKBrRGuQfMJ;Dynamics-aware unsupervised discovery of skills ;https://arxiv.org/abs/1907.01657
118;jgNec221jUMJ;A genetic programming approach to designing convolutional neural network architectures ;https://dl.acm.org/doi/abs/10.1145/3071178.3071229
119;vevTpR1UH4wJ;Autonomous experimentation systems for materials development: A community perspective ;https://www.cell.com/matter/pdf/S2590-2385(21)00306-4.pdf
120;1yFCQPXztKQJ;Multiagent cooperation and competition with deep reinforcement learning ;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0172395
121;Q6rYIKJ7nuYJ;Mlperf training benchmark ;https://proceedings.mlsys.org/paper_files/paper/2020/hash/411e39b117e885341f25efb8912945f7-Abstract.html
122;6V_FqZcWCEAJ;Implicit generation and modeling with energy based models ;https://proceedings.neurips.cc/paper/2019/hash/378a063b8fdb1db941e34f4bde584c7d-Abstract.html
123;N_-FVS2e2hIJ;Measuring catastrophic forgetting in neural networks ;https://ojs.aaai.org/index.php/AAAI/article/view/11651
124;NYbX_3MR8FUJ;The application of two-level attention models in deep convolutional neural network for fine-grained image classification ;http://openaccess.thecvf.com/content_cvpr_2015/html/Xiao_The_Application_of_2015_CVPR_paper.html
125;VIbuEcuom7oJ;Lifelong machine learning ;https://link.springer.com/book/10.1007/978-3-031-01581-6
126;yL_oyofmQiMJ;Action-decision networks for visual tracking with deep reinforcement learning ;http://openaccess.thecvf.com/content_cvpr_2017/html/Yun_Action-Decision_Networks_for_CVPR_2017_paper.html
127;27D-KjlM_tYJ;Q-learning algorithms: A comprehensive classification and applications ;https://ieeexplore.ieee.org/abstract/document/8836506/
128;0jTnEVnntKEJ;A systematic review on overfitting control in shallow and deep neural networks ;https://link.springer.com/article/10.1007/s10462-021-09975-1
129;d5QS_41OZ7EJ;Real-time intermediate flow estimation for video frame interpolation ;https://link.springer.com/chapter/10.1007/978-3-031-19781-9_36
130;3pPKDwnVh0gJ;Benchmarking model-based reinforcement learning ;https://arxiv.org/abs/1907.02057
131;OMqyWBrRvWoJ;The role of ai, machine learning, and big data in digital twinning: A systematic literature review, challenges, and opportunities ;https://ieeexplore.ieee.org/abstract/document/9359733/
132;rR3_9LPYjjIJ;Top-k off-policy correction for a REINFORCE recommender system ;https://dl.acm.org/doi/abs/10.1145/3289600.3290999
133;o4w0HmIuPfkJ;Single and multi-agent deep reinforcement learning for AI-enabled wireless networks: A tutorial ;https://ieeexplore.ieee.org/abstract/document/9372298/
134;xgyi1fOnr4gJ;Responsive safety in reinforcement learning by pid lagrangian methods ;https://proceedings.mlr.press/v119/stooke20a.html
135;BhvvskYihiMJ;Integrated networking, caching, and computing for connected vehicles: A deep reinforcement learning approach ;https://ieeexplore.ieee.org/abstract/document/8061008/
136;tHAjjAXikJUJ;Deep learning for intelligent transportation systems: A survey of emerging trends ;https://ieeexplore.ieee.org/abstract/document/8771378/
137;6w-Te_8mBv4J;Comprehensive survey on machine learning in vehicular network: Technology, applications and challenges ;https://ieeexplore.ieee.org/abstract/document/9463461/
138;ygniRjWJMLcJ;Artificial intelligence, machine learning, deep learning, and cognitive computing: what do these terms mean and how will they impact health care? ;https://www.sciencedirect.com/science/article/pii/S0883540318302158
139;B2u62TU5hDAJ;Compute trends across three eras of machine learning ;https://ieeexplore.ieee.org/abstract/document/9891914/
140;QIDm35qtNAgJ;Artificial intelligence and machine learning as business tools: A framework for diagnosing value destruction potential ;https://www.sciencedirect.com/science/article/pii/S0007681319301570
141;lrj3qq_-hCkJ;Multi-UAV-enabled load-balance mobile-edge computing for IoT networks ;https://ieeexplore.ieee.org/abstract/document/8981986/
142;c1EZzgfgrZoJ;Dynamic scheduling for flexible job shop with new job insertions by deep reinforcement learning ;https://www.sciencedirect.com/science/article/pii/S1568494620301484
143;HJSb9-sZZZ8J;Playing FPS games with deep reinforcement learning ;https://ojs.aaai.org/index.php/AAAI/article/view/10827
144;qaW0bB1tKU0J;Learning to track: Online multi-object tracking by decision making ;https://www.cv-foundation.org/openaccess/content_iccv_2015/html/Xiang_Learning_to_Track_ICCV_2015_paper.html
145;eDODKECKtZwJ;A lyapunov-based approach to safe reinforcement learning ;https://proceedings.neurips.cc/paper/8032-a-lyapunov-based-approach-to-safe-reinforcement-learning
146;cGLrlHTLX5YJ;Advances in adversarial attacks and defenses in computer vision: A survey ;https://ieeexplore.ieee.org/abstract/document/9614158/
147;SziFyAa2Di4J;Pre-trained language models for interactive decision-making ;https://proceedings.neurips.cc/paper_files/paper/2022/hash/ca3b1f24fc0238edf5ed1ad226b9d655-Abstract-Conference.html
148;jAiH3WTPeQgJ;A review of cooperative multi-agent deep reinforcement learning ;https://link.springer.com/article/10.1007/s10489-022-04105-y
149;OPTs80NDmMkJ;Application of deep reinforcement learning to intrusion detection for supervised problems ;https://www.sciencedirect.com/science/article/pii/S0957417419306815
150;22HkodFgZPoJ;On tiny episodic memories in continual learning ;https://arxiv.org/abs/1902.10486
151;_tLVaJlwuGQJ;Policy distillation ;https://arxiv.org/abs/1511.06295
152;2PHPY-8t1PAJ;A systematic dnn weight pruning framework using alternating direction method of multipliers ;http://openaccess.thecvf.com/content_ECCV_2018/html/Tianyun_Zhang_A_Systematic_DNN_ECCV_2018_paper.html
153;R7abFc2aXWMJ;Visual foresight: Model-based deep reinforcement learning for vision-based robotic control ;https://arxiv.org/abs/1812.00568
154;oWRu-NkMBAkJ;Conversational recommender system ;https://dl.acm.org/doi/abs/10.1145/3209978.3210002
155;RNcOCuJuEh4J;Improving sample efficiency in model-free reinforcement learning from images ;https://ojs.aaai.org/index.php/AAAI/article/view/17276
156;Tq8lWeI2j2kJ;Graph neural network and reinforcement learning for multi‐agent cooperative control of connected autonomous vehicles ;https://onlinelibrary.wiley.com/doi/abs/10.1111/mice.12702
157;hKYj8hhyrsIJ;Way off-policy batch deep reinforcement learning of implicit human preferences in dialog ;https://arxiv.org/abs/1907.00456
158;NiFkzzG6R4MJ;Jump-start reinforcement learning ;https://proceedings.mlr.press/v202/uchendu23a.html
159;uQa26F4xvg8J;Deep neural networks for bot detection ;https://www.sciencedirect.com/science/article/pii/S0020025518306248
160;djYEPgdgj0sJ;Federated learning in edge computing: a systematic survey ;https://www.mdpi.com/1424-8220/22/2/450
161;v2DGB246UQYJ;A new approach for arrhythmia classification using deep coded features and LSTM networks ;https://www.sciencedirect.com/science/article/pii/S0169260718314329
162;R4QYyTJGAqEJ;Multi-hop knowledge graph reasoning with reward shaping ;https://arxiv.org/abs/1808.10568
163;U2A3sR9U2YIJ;A study on overfitting in deep reinforcement learning ;https://arxiv.org/abs/1804.06893
164;6lVVO7RFP-8J;Rule-interposing deep reinforcement learning based energy management strategy for power-split hybrid electric vehicle ;https://www.sciencedirect.com/science/article/pii/S0360544220304047
165;uU6dV0lmcpAJ;Exponential expressivity in deep neural networks through transient chaos ;https://proceedings.neurips.cc/paper/2016/hash/148510031349642de5ca0c544f31b2ef-Abstract.html
166;a4_U-4xhmsUJ;An efficient graph convolutional network technique for the travelling salesman problem ;https://arxiv.org/abs/1906.01227
167;tx9iK-GS_s0J;Differentiable mpc for end-to-end planning and control ;https://proceedings.neurips.cc/paper/2018/hash/ba6d843eb4251a4526ce65d1807a9309-Abstract.html
168;9ozHrIOt_ygJ;Deep reinforcement learning for cyber security ;https://ieeexplore.ieee.org/abstract/document/9596578/
169;zR_6-yWXJbUJ;Deep reinforcement learning and its neuroscientific implications ;https://www.cell.com/neuron/pdf/S0896-6273(20)30468-2.pdf
170;G_tXQcNVu8EJ;Imagination-augmented agents for deep reinforcement learning ;https://proceedings.neurips.cc/paper/2017/hash/9e82757e9a1c12cb710ad680db11f6f1-Abstract.html
171;NEXwjomUDFgJ;Deep reinforcement learning for unsupervised video summarization with diversity-representativeness reward ;https://ojs.aaai.org/index.php/AAAI/article/view/12255
172;4nBV94AELqgJ;Implementation matters in deep policy gradients: A case study on ppo and trpo ;https://arxiv.org/abs/2005.12729
173;J7PUtsE8nDQJ;Deep spatial autoencoders for visuomotor learning ;https://ieeexplore.ieee.org/abstract/document/7487173/
174;ON7qh9ujiWkJ;Jointly dampening traffic oscillations and improving energy consumption with electric, connected and automated vehicles: a reinforcement learning based … ;https://www.sciencedirect.com/science/article/pii/S0306261919317179
175;BEGEVN7FA3AJ;Cooperative exploration for multi-agent deep reinforcement learning ;http://proceedings.mlr.press/v139/liu21j.html
176;779LPEcZfGkJ;Deep reinforcement learning for task offloading in mobile edge computing systems ;https://ieeexplore.ieee.org/abstract/document/9253665/
177;q35wP0HmVrAJ;Massively parallel methods for deep reinforcement learning ;https://arxiv.org/abs/1507.04296
178;1rfpkbrsSl4J;Stabilizing deep q-learning with convnets and vision transformers under data augmentation ;https://proceedings.neurips.cc/paper_files/paper/2021/hash/1e0f65eb20acbfb27ee05ddc000b50ec-Abstract.html
179;lbcyQK59A6gJ;Sample-efficient reinforcement learning with stochastic ensemble value expansion ;https://proceedings.neurips.cc/paper/2018/hash/f02208a057804ee16ac72ff4d3cec53b-Abstract.html
180;l2He5gbY6PIJ;Reinforcement learning for UAV attitude control ;https://dl.acm.org/doi/abs/10.1145/3301273
181;aQAiXwb-8QcJ;Contrastive learning as goal-conditioned reinforcement learning ;https://proceedings.neurips.cc/paper_files/paper/2022/hash/e7663e974c4ee7a2b475a4775201ce1f-Abstract-Conference.html
182;R0ZnYXIbpxwJ;Resilient machine learning for networked cyber physical systems: A survey for machine learning security to securing machine learning for CPS ;https://ieeexplore.ieee.org/abstract/document/9252851/
183;pex28U1GfjIJ;Artificial intelligence techniques for stability analysis and control in smart grids: Methodologies, applications, challenges and future directions ;https://www.sciencedirect.com/science/article/pii/S0306261920312228
184;nSTfBzorh1UJ;A review of the application of machine learning and data mining approaches in continuum materials mechanics ;https://www.frontiersin.org/articles/10.3389/fmats.2019.00110/full
185;mldcnQxHoicJ;Deep reinforcement learning for dynamic computation offloading and resource allocation in cache-assisted mobile edge computing systems ;https://ieeexplore.ieee.org/abstract/document/9310745/
186;jO5l16QUoJoJ;3D UAV trajectory design and frequency band allocation for energy-efficient and fair communication: A deep reinforcement learning approach ;https://ieeexplore.ieee.org/abstract/document/9171468/
187;z5mviSIXKjQJ;Blockchain-enabled data collection and sharing for industrial IoT with deep reinforcement learning ;https://ieeexplore.ieee.org/abstract/document/8594641/
188;mXO6i8N2jCgJ;Coordinated load frequency control of multi-area integrated energy system using multi-agent deep reinforcement learning ;https://www.sciencedirect.com/science/article/pii/S0306261921012137
189;Sic2kq68rD0J;Uncertainty weighted actor-critic for offline reinforcement learning ;https://arxiv.org/abs/2105.08140
190;oxCRH-hpzLQJ;Artificial neural networks trained through deep reinforcement learning discover control strategies for active flow control ;https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/artificial-neural-networks-trained-through-deep-reinforcement-learning-discover-control-strategies-for-active-flow-control/D5B80D809DFFD73760989A07F5E11039
191;7j-Wpkzee-4J;An end-to-end automatic cloud database tuning system using deep reinforcement learning ;https://dl.acm.org/doi/abs/10.1145/3299869.3300085
192;9LYcXsDTbkkJ;Evolving curricula with regret-based environment design ;https://proceedings.mlr.press/v162/parker-holder22a.html
193;qm7Spv7Mf3kJ;Reinforcement learning in feature space: Matrix bandit, kernels, and regret bound ;https://proceedings.mlr.press/v119/yang20h.html
194;_rUb20Mvnu4J;A dynamic pricing demand response algorithm for smart grid: Reinforcement learning approach ;https://www.sciencedirect.com/science/article/pii/S0306261918304112
